image,top_left_x,top_left_y,bottom_right_x,bottom_right_y
user_9_A0.jpg,175,44,265,134
user_9_A1.jpg,180,49,260,129
user_9_A2.jpg,180,49,260,129
user_9_A3.jpg,177,49,257,129
user_9_A4.jpg,178,44,258,124
user_9_A5.jpg,45,37,145,137
user_9_A6.jpg,40,32,150,142
user_9_A7.jpg,37,39,147,149
user_9_A8.jpg,40,47,140,147
user_9_A9.jpg,40,47,140,147
user_9_B0.jpg,149,25,289,165
user_9_B1.jpg,162,28,292,158
user_9_B2.jpg,180,28,310,158
user_9_B3.jpg,181,31,311,161
user_9_B4.jpg,178,40,318,180
user_9_B5.jpg,12,8,192,188
user_9_B6.jpg,25,10,195,180
user_9_B7.jpg,31,8,201,178
user_9_B8.jpg,47,19,197,169
user_9_B9.jpg,55,26,195,166
user_9_C0.jpg,172,48,302,178
user_9_C1.jpg,172,41,302,171
user_9_C2.jpg,190,52,310,172
user_9_C3.jpg,191,72,311,192
user_9_C4.jpg,176,88,296,208
user_9_C5.jpg,74,11,204,141
user_9_C6.jpg,75,20,205,150
user_9_C7.jpg,69,32,209,172
user_9_C8.jpg,66,34,206,174
user_9_C9.jpg,65,23,205,163
user_9_D0.jpg,185,9,315,139
user_9_D1.jpg,194,11,314,131
user_9_D2.jpg,196,16,316,136
user_9_D3.jpg,203,21,313,131
user_9_D4.jpg,203,23,313,133
user_9_D5.jpg,69,2,219,152
user_9_D6.jpg,69,2,219,152
user_9_D7.jpg,82,1,232,151
user_9_D8.jpg,88,8,228,148
user_9_D9.jpg,91,13,231,153
user_9_E0.jpg,124,50,224,150
user_9_E1.jpg,124,43,224,143
user_9_E2.jpg,126,39,226,139
user_9_E3.jpg,146,54,226,134
user_9_E4.jpg,129,59,229,159
user_9_E5.jpg,75,31,185,141
user_9_E6.jpg,82,39,182,139
user_9_E7.jpg,83,44,183,144
user_9_E8.jpg,83,44,183,144
user_9_E9.jpg,71,37,181,147
user_9_F0.jpg,115,18,265,168
user_9_F1.jpg,105,20,255,170
user_9_F2.jpg,136,20,266,150
user_9_F3.jpg,125,20,255,150
user_9_F4.jpg,142,23,272,153
user_9_F5.jpg,62,14,192,144
user_9_F6.jpg,60,18,190,148
user_9_F7.jpg,71,23,201,153
user_9_F8.jpg,76,38,196,158
user_9_F9.jpg,76,38,196,158
user_9_G0.jpg,163,84,283,204
user_9_G1.jpg,159,61,279,181
user_9_G2.jpg,152,45,272,165
user_9_G3.jpg,155,35,275,155
user_9_G4.jpg,168,25,268,125
user_9_G5.jpg,116,10,226,120
user_9_G6.jpg,108,9,218,119
user_9_G7.jpg,118,15,228,125
user_9_G8.jpg,107,18,217,128
user_9_G9.jpg,114,14,224,124
user_9_H0.jpg,206,40,316,150
user_9_H1.jpg,206,41,316,151
user_9_H2.jpg,207,36,317,146
user_9_H3.jpg,209,23,319,133
user_9_H4.jpg,209,21,319,131
user_9_H5.jpg,114,5,234,125
user_9_H6.jpg,104,9,224,129
user_9_H7.jpg,116,19,236,139
user_9_H8.jpg,106,32,226,152
user_9_H9.jpg,113,35,233,155
user_9_I0.jpg,205,50,305,150
user_9_I1.jpg,198,48,298,148
user_9_I2.jpg,213,46,313,146
user_9_I3.jpg,200,41,300,141
user_9_I4.jpg,195,53,295,153
user_9_I5.jpg,73,8,193,128
user_9_I6.jpg,65,4,185,124
user_9_I7.jpg,81,18,181,118
user_9_I8.jpg,76,16,176,116
user_9_I9.jpg,86,22,186,122
user_9_K0.jpg,102,9,232,139
user_9_K1.jpg,83,9,213,139
