Thesis-Code/experiments/experiment 2/dataset_1/user_10_A0.jpg,186,84,286,184,A
Thesis-Code/experiments/experiment 2/dataset_1/user_10_A1.jpg,186,84,286,184,A
Thesis-Code/experiments/experiment 2/dataset_1/user_10_A2.jpg,185,90,285,190,A
Thesis-Code/experiments/experiment 2/dataset_1/user_10_A3.jpg,180,88,290,198,A
Thesis-Code/experiments/experiment 2/dataset_1/user_10_A4.jpg,173,102,293,222,A
Thesis-Code/experiments/experiment 2/dataset_1/user_10_A5.jpg,194,52,304,162,A
Thesis-Code/experiments/experiment 2/dataset_1/user_10_A6.jpg,194,62,304,172,A
Thesis-Code/experiments/experiment 2/dataset_1/user_10_A7.jpg,199,69,299,169,A
Thesis-Code/experiments/experiment 2/dataset_1/user_10_A8.jpg,195,61,305,171,A
Thesis-Code/experiments/experiment 2/dataset_1/user_10_A9.jpg,188,58,308,178,A
Thesis-Code/experiments/experiment 2/dataset_1/user_10_B0.jpg,189,49,319,179,B
Thesis-Code/experiments/experiment 2/dataset_1/user_10_B1.jpg,199,52,319,172,B
Thesis-Code/experiments/experiment 2/dataset_1/user_10_B2.jpg,199,54,319,174,B
Thesis-Code/experiments/experiment 2/dataset_1/user_10_B3.jpg,199,58,319,178,B
Thesis-Code/experiments/experiment 2/dataset_1/user_10_B4.jpg,199,62,319,182,B
Thesis-Code/experiments/experiment 2/dataset_1/user_10_B5.jpg,159,22,309,172,B
Thesis-Code/experiments/experiment 2/dataset_1/user_10_B6.jpg,164,21,304,161,B
Thesis-Code/experiments/experiment 2/dataset_1/user_10_B7.jpg,170,21,310,161,B
Thesis-Code/experiments/experiment 2/dataset_1/user_10_B8.jpg,169,32,319,182,B
Thesis-Code/experiments/experiment 2/dataset_1/user_10_B9.jpg,159,34,319,194,B
Thesis-Code/experiments/experiment 2/dataset_1/user_10_C0.jpg,196,39,316,159,C
Thesis-Code/experiments/experiment 2/dataset_1/user_10_C1.jpg,209,41,319,151,C
Thesis-Code/experiments/experiment 2/dataset_1/user_10_C2.jpg,212,50,312,150,C
Thesis-Code/experiments/experiment 2/dataset_1/user_10_C3.jpg,212,54,312,154,C
Thesis-Code/experiments/experiment 2/dataset_1/user_10_C4.jpg,210,58,310,158,C
Thesis-Code/experiments/experiment 2/dataset_1/user_10_C5.jpg,214,50,314,150,C
Thesis-Code/experiments/experiment 2/dataset_1/user_10_C6.jpg,212,51,312,151,C
Thesis-Code/experiments/experiment 2/dataset_1/user_10_C7.jpg,212,51,312,151,C
Thesis-Code/experiments/experiment 2/dataset_1/user_10_C8.jpg,208,49,308,149,C
Thesis-Code/experiments/experiment 2/dataset_1/user_10_C9.jpg,208,49,308,149,C
Thesis-Code/experiments/experiment 2/dataset_1/user_10_D0.jpg,194,59,304,169,D
Thesis-Code/experiments/experiment 2/dataset_1/user_10_D1.jpg,199,59,309,169,D
Thesis-Code/experiments/experiment 2/dataset_1/user_10_D2.jpg,200,63,310,173,D
Thesis-Code/experiments/experiment 2/dataset_1/user_10_D3.jpg,200,63,310,173,D
Thesis-Code/experiments/experiment 2/dataset_1/user_10_D4.jpg,199,62,309,172,D
Thesis-Code/experiments/experiment 2/dataset_1/user_10_D5.jpg,159,44,319,204,D
Thesis-Code/experiments/experiment 2/dataset_1/user_10_D6.jpg,169,43,319,193,D
Thesis-Code/experiments/experiment 2/dataset_1/user_10_D7.jpg,187,50,317,180,D
Thesis-Code/experiments/experiment 2/dataset_1/user_10_D8.jpg,187,50,317,180,D
Thesis-Code/experiments/experiment 2/dataset_1/user_10_D9.jpg,168,65,318,215,D
Thesis-Code/experiments/experiment 2/dataset_1/user_10_E0.jpg,211,56,301,146,E
Thesis-Code/experiments/experiment 2/dataset_1/user_10_E1.jpg,210,57,300,147,E
Thesis-Code/experiments/experiment 2/dataset_1/user_10_E2.jpg,210,57,300,147,E
Thesis-Code/experiments/experiment 2/dataset_1/user_10_E3.jpg,210,57,300,147,E
Thesis-Code/experiments/experiment 2/dataset_1/user_10_E4.jpg,210,57,300,147,E
Thesis-Code/experiments/experiment 2/dataset_1/user_10_E5.jpg,187,40,297,150,E
Thesis-Code/experiments/experiment 2/dataset_1/user_10_E6.jpg,195,36,305,146,E
Thesis-Code/experiments/experiment 2/dataset_1/user_10_E7.jpg,203,45,303,145,E
Thesis-Code/experiments/experiment 2/dataset_1/user_10_E8.jpg,199,45,299,145,E
Thesis-Code/experiments/experiment 2/dataset_1/user_10_E9.jpg,204,47,304,147,E
Thesis-Code/experiments/experiment 2/dataset_1/user_10_F0.jpg,182,32,302,152,F
Thesis-Code/experiments/experiment 2/dataset_1/user_10_F1.jpg,181,33,301,153,F
Thesis-Code/experiments/experiment 2/dataset_1/user_10_F2.jpg,188,35,308,155,F
Thesis-Code/experiments/experiment 2/dataset_1/user_10_F3.jpg,189,40,309,160,F
Thesis-Code/experiments/experiment 2/dataset_1/user_10_F4.jpg,183,43,303,163,F
Thesis-Code/experiments/experiment 2/dataset_1/user_10_F5.jpg,160,28,280,148,F
Thesis-Code/experiments/experiment 2/dataset_1/user_10_F6.jpg,172,23,292,143,F
Thesis-Code/experiments/experiment 2/dataset_1/user_10_F7.jpg,166,34,286,154,F
Thesis-Code/experiments/experiment 2/dataset_1/user_10_F8.jpg,174,34,294,154,F
Thesis-Code/experiments/experiment 2/dataset_1/user_10_F9.jpg,186,36,306,156,F
Thesis-Code/experiments/experiment 2/dataset_1/user_10_G0.jpg,191,46,301,156,G
Thesis-Code/experiments/experiment 2/dataset_1/user_10_G1.jpg,196,50,306,160,G
Thesis-Code/experiments/experiment 2/dataset_1/user_10_G2.jpg,189,55,299,165,G
Thesis-Code/experiments/experiment 2/dataset_1/user_10_G3.jpg,205,55,315,165,G
Thesis-Code/experiments/experiment 2/dataset_1/user_10_G4.jpg,204,58,314,168,G
Thesis-Code/experiments/experiment 2/dataset_1/user_10_G5.jpg,189,65,289,165,G
Thesis-Code/experiments/experiment 2/dataset_1/user_10_G6.jpg,202,68,302,168,G
Thesis-Code/experiments/experiment 2/dataset_1/user_10_G7.jpg,195,82,295,182,G
Thesis-Code/experiments/experiment 2/dataset_1/user_10_G8.jpg,203,83,303,183,G
Thesis-Code/experiments/experiment 2/dataset_1/user_10_G9.jpg,193,86,293,186,G
Thesis-Code/experiments/experiment 2/dataset_1/user_10_H0.jpg,151,35,271,155,H
Thesis-Code/experiments/experiment 2/dataset_1/user_10_H1.jpg,160,38,280,158,H
Thesis-Code/experiments/experiment 2/dataset_1/user_10_H2.jpg,170,40,290,160,H
Thesis-Code/experiments/experiment 2/dataset_1/user_10_H3.jpg,179,47,289,157,H
Thesis-Code/experiments/experiment 2/dataset_1/user_10_H4.jpg,182,51,292,161,H
Thesis-Code/experiments/experiment 2/dataset_1/user_10_H5.jpg,183,71,293,181,H
Thesis-Code/experiments/experiment 2/dataset_1/user_10_H6.jpg,172,70,282,180,H
Thesis-Code/experiments/experiment 2/dataset_1/user_10_H7.jpg,180,75,290,185,H
Thesis-Code/experiments/experiment 2/dataset_1/user_10_H8.jpg,160,75,270,185,H
Thesis-Code/experiments/experiment 2/dataset_1/user_10_H9.jpg,171,76,281,186,H
Thesis-Code/experiments/experiment 2/dataset_1/user_10_I0.jpg,192,44,302,154,I
Thesis-Code/experiments/experiment 2/dataset_1/user_10_I1.jpg,198,41,308,151,I
Thesis-Code/experiments/experiment 2/dataset_1/user_10_I2.jpg,199,56,309,166,I
Thesis-Code/experiments/experiment 2/dataset_1/user_10_I3.jpg,198,50,308,160,I
Thesis-Code/experiments/experiment 2/dataset_1/user_10_I4.jpg,201,67,311,177,I
Thesis-Code/experiments/experiment 2/dataset_1/user_10_I5.jpg,196,48,306,158,I
Thesis-Code/experiments/experiment 2/dataset_1/user_10_I6.jpg,187,48,297,158,I
Thesis-Code/experiments/experiment 2/dataset_1/user_10_I7.jpg,199,61,309,171,I
Thesis-Code/experiments/experiment 2/dataset_1/user_10_I8.jpg,204,65,304,165,I
Thesis-Code/experiments/experiment 2/dataset_1/user_10_I9.jpg,206,72,306,172,I
Thesis-Code/experiments/experiment 2/dataset_1/user_10_K0.jpg,110,13,270,173,K
Thesis-Code/experiments/experiment 2/dataset_1/user_10_K1.jpg,109,3,269,163,K
Thesis-Code/experiments/experiment 2/dataset_1/user_10_K2.jpg,132,0,282,150,K
Thesis-Code/experiments/experiment 2/dataset_1/user_10_K3.jpg,152,0,282,130,K
Thesis-Code/experiments/experiment 2/dataset_1/user_10_K4.jpg,149,3,279,133,K
Thesis-Code/experiments/experiment 2/dataset_1/user_10_K5.jpg,114,34,274,194,K
Thesis-Code/experiments/experiment 2/dataset_1/user_10_K6.jpg,99,23,259,183,K
Thesis-Code/experiments/experiment 2/dataset_1/user_10_K7.jpg,135,21,295,181,K
Thesis-Code/experiments/experiment 2/dataset_1/user_10_K8.jpg,123,6,283,166,K
Thesis-Code/experiments/experiment 2/dataset_1/user_10_K9.jpg,126,1,286,161,K
Thesis-Code/experiments/experiment 2/dataset_1/user_10_L0.jpg,177,37,307,167,L
Thesis-Code/experiments/experiment 2/dataset_1/user_10_L1.jpg,189,42,319,172,L
Thesis-Code/experiments/experiment 2/dataset_1/user_10_L2.jpg,178,40,308,170,L
Thesis-Code/experiments/experiment 2/dataset_1/user_10_L3.jpg,183,43,313,173,L
