image,top_left_x,top_left_y,bottom_right_x,bottom_right_y
user_3_A0.jpg,124,18,214,108
user_3_A1.jpg,124,18,214,108
user_3_A2.jpg,123,19,213,109
user_3_A3.jpg,122,21,212,111
user_3_A4.jpg,122,20,212,110
user_3_A5.jpg,96,35,176,115
user_3_A6.jpg,93,39,173,119
user_3_A7.jpg,90,46,170,126
user_3_A8.jpg,89,54,169,134
user_3_A9.jpg,90,56,170,136
user_3_B0.jpg,139,12,289,162
user_3_B1.jpg,139,12,289,162
user_3_B2.jpg,149,22,279,152
user_3_B3.jpg,147,23,277,153
user_3_B4.jpg,145,27,275,157
user_3_B5.jpg,3,23,193,213
user_3_B6.jpg,0,0,180,180
user_3_B7.jpg,38,0,218,180
user_3_B8.jpg,43,39,223,219
user_3_B9.jpg,66,0,186,120
user_3_C0.jpg,167,0,267,100
user_3_C1.jpg,175,0,275,100
user_3_C2.jpg,178,0,278,100
user_3_C3.jpg,167,0,267,100
user_3_C4.jpg,167,0,267,100
user_3_C5.jpg,68,6,198,136
user_3_C6.jpg,68,6,198,136
user_3_C7.jpg,71,12,191,132
user_3_C8.jpg,75,18,185,128
user_3_C9.jpg,70,21,180,131
user_3_D0.jpg,131,0,281,150
user_3_D1.jpg,123,0,273,150
user_3_D2.jpg,132,0,272,140
user_3_D3.jpg,132,0,272,140
user_3_D4.jpg,132,0,272,140
user_3_D5.jpg,34,3,194,163
user_3_D6.jpg,41,2,191,152
user_3_D7.jpg,35,0,185,150
user_3_D8.jpg,34,8,174,148
user_3_D9.jpg,39,13,169,143
user_3_E0.jpg,146,19,236,109
user_3_E1.jpg,151,16,241,106
user_3_E2.jpg,142,19,232,109
user_3_E3.jpg,143,17,233,107
user_3_E4.jpg,152,15,242,105
user_3_E5.jpg,65,6,175,116
user_3_E6.jpg,76,8,176,108
user_3_E7.jpg,75,9,175,109
user_3_E8.jpg,90,20,180,110
user_3_E9.jpg,95,31,175,111
user_3_F0.jpg,149,17,269,137
user_3_F1.jpg,143,16,263,136
user_3_F2.jpg,149,13,269,133
user_3_F3.jpg,147,20,267,140
user_3_F4.jpg,141,19,261,139
user_3_F5.jpg,83,21,203,141
user_3_F6.jpg,95,21,215,141
user_3_F7.jpg,85,28,205,148
