image,top_left_x,top_left_y,bottom_right_x,bottom_right_y
user_10_A0.jpg,186,84,286,184
user_10_A1.jpg,186,84,286,184
user_10_A2.jpg,185,90,285,190
user_10_A3.jpg,180,88,290,198
user_10_A4.jpg,173,102,293,222
user_10_A5.jpg,194,52,304,162
user_10_A6.jpg,194,62,304,172
user_10_A7.jpg,199,69,299,169
user_10_A8.jpg,195,61,305,171
user_10_A9.jpg,188,58,308,178
user_10_B0.jpg,189,49,319,179
user_10_B1.jpg,199,52,319,172
user_10_B2.jpg,199,54,319,174
user_10_B3.jpg,199,58,319,178
user_10_B4.jpg,199,62,319,182
user_10_B5.jpg,159,22,309,172
user_10_B6.jpg,164,21,304,161
user_10_B7.jpg,170,21,310,161
user_10_B8.jpg,169,32,319,182
user_10_B9.jpg,159,34,319,194
user_10_C0.jpg,196,39,316,159
user_10_C1.jpg,209,41,319,151
user_10_C2.jpg,212,50,312,150
user_10_C3.jpg,212,54,312,154
user_10_C4.jpg,210,58,310,158
user_10_C5.jpg,214,50,314,150
user_10_C6.jpg,212,51,312,151
user_10_C7.jpg,212,51,312,151
user_10_C8.jpg,208,49,308,149
user_10_C9.jpg,208,49,308,149
user_10_D0.jpg,194,59,304,169
user_10_D1.jpg,199,59,309,169
user_10_D2.jpg,200,63,310,173
user_10_D3.jpg,200,63,310,173
user_10_D4.jpg,199,62,309,172
user_10_D5.jpg,159,44,319,204
user_10_D6.jpg,169,43,319,193
user_10_D7.jpg,187,50,317,180
user_10_D8.jpg,187,50,317,180
user_10_D9.jpg,168,65,318,215
user_10_E0.jpg,211,56,301,146
user_10_E1.jpg,210,57,300,147
user_10_E2.jpg,210,57,300,147
user_10_E3.jpg,210,57,300,147
user_10_E4.jpg,210,57,300,147
user_10_E5.jpg,187,40,297,150
user_10_E6.jpg,195,36,305,146
user_10_E7.jpg,203,45,303,145
user_10_E8.jpg,199,45,299,145
user_10_E9.jpg,204,47,304,147
user_10_F0.jpg,182,32,302,152
user_10_F1.jpg,181,33,301,153
user_10_F2.jpg,188,35,308,155
user_10_F3.jpg,189,40,309,160
user_10_F4.jpg,183,43,303,163
user_10_F5.jpg,160,28,280,148
user_10_F6.jpg,172,23,292,143
user_10_F7.jpg,166,34,286,154
user_10_F8.jpg,174,34,294,154
user_10_F9.jpg,186,36,306,156
user_10_G0.jpg,191,46,301,156
user_10_G1.jpg,196,50,306,160
user_10_G2.jpg,189,55,299,165
user_10_G3.jpg,205,55,315,165
user_10_G4.jpg,204,58,314,168
user_10_G5.jpg,189,65,289,165
user_10_G6.jpg,202,68,302,168
user_10_G7.jpg,195,82,295,182
user_10_G8.jpg,203,83,303,183
user_10_G9.jpg,193,86,293,186
